cliente_id,codigo_cliente,razao_social,segmento,cidade,uf,data_cadastro,ativo
1,CLI000001,Cliente 0001,Restaurante,São Luís,MA,2023-07-09,True
2,CLI000002,Cliente 0002,Restaurante,Feira de Santana,BA,2021-08-01,True
3,CLI000003,Cliente 0003,Restaurante,Fortaleza,CE,2022-11-03,True
4,CLI000004,Cliente 0004,Mercadinho,Fortaleza,CE,2022-04-27,False
5,CLI000005,Cliente 0005,Supermercado,Caucaia,CE,2022-08-22,True
6,CLI000006,Cliente 0006,Bar,Recife,PE,2023-06-06,True
7,CLI000007,Cliente 0007,Supermercado,Maracanaú,CE,2023-02-19,False
8,CLI000008,Cliente 0008,Atacado,Olinda,PE,2024-07-23,True
9,CLI000009,Cliente 0009,Mercadinho,Recife,PE,2023-11-20,True
10,CLI000010,Cliente 0010,Restaurante,Fortaleza,CE,2025-07-22,True
11,CLI000011,Cliente 0011,Mercadinho,Salvador,BA,2024-08-04,True
12,CLI000012,Cliente 0012,Conveniência,Salvador,BA,2024-12-05,True
13,CLI000013,Cliente 0013,Atacado,Olinda,PE,2025-08-15,True
14,CLI000014,Cliente 0014,Restaurante,Olinda,PE,2022-02-09,True
15,CLI000015,Cliente 0015,Bar,Recife,PE,2025-10-22,True
16,CLI000016,Cliente 0016,Bar,Fortaleza,CE,2023-03-16,True
17,CLI000017,Cliente 0017,Restaurante,Olinda,PE,2023-10-23,True
18,CLI000018,Cliente 0018,Atacado,Fortaleza,CE,2022-02-08,True
19,CLI000019,Cliente 0019,Atacado,São Luís,MA,2022-12-16,True
20,CLI000020,Cliente 0020,Bar,São Luís,MA,2021-02-10,True
21,CLI000021,Cliente 0021,Restaurante,Recife,PE,2025-06-16,True
22,CLI000022,Cliente 0022,Bar,Salvador,BA,2025-06-12,True
23,CLI000023,Cliente 0023,Restaurante,Olinda,PE,2023-04-04,True
24,CLI000024,Cliente 0024,Mercadinho,Salvador,BA,2025-12-06,True
25,CLI000025,Cliente 0025,Restaurante,São Luís,MA,2025-09-20,True
26,CLI000026,Cliente 0026,Supermercado,Maracanaú,CE,2023-04-12,True
27,CLI000027,Cliente 0027,Conveniência,Fortaleza,CE,2025-03-09,True
28,CLI000028,Cliente 0028,Atacado,Fortaleza,CE,2023-12-05,True
29,CLI000029,Cliente 0029,Mercadinho,São Luís,MA,2021-10-10,True
30,CLI000030,Cliente 0030,Restaurante,São Luís,MA,2022-01-09,True
31,CLI000031,Cliente 0031,Mercadinho,São Luís,MA,2021-07-16,True
32,CLI000032,Cliente 0032,Supermercado,Fortaleza,CE,2022-10-10,True
33,CLI000033,Cliente 0033,Mercadinho,Recife,PE,2025-07-20,True
34,CLI000034,Cliente 0034,Atacado,Recife,PE,2024-08-15,True
35,CLI000035,Cliente 0035,Restaurante,Feira de Santana,BA,2025-10-02,True
36,CLI000036,Cliente 0036,Supermercado,Maracanaú,CE,2022-05-22,True
37,CLI000037,Cliente 0037,Supermercado,Recife,PE,2025-02-06,False
38,CLI000038,Cliente 0038,Conveniência,São Luís,MA,2025-08-10,True
39,CLI000039,Cliente 0039,Conveniência,Olinda,PE,2023-12-28,True
40,CLI000040,Cliente 0040,Restaurante,Recife,PE,2025-11-26,True
41,CLI000041,Cliente 0041,Mercadinho,Feira de Santana,BA,2025-04-21,True
42,CLI000042,Cliente 0042,Supermercado,Olinda,PE,2021-01-06,True
43,CLI000043,Cliente 0043,Bar,Olinda,PE,2021-08-23,True
44,CLI000044,Cliente 0044,Restaurante,Feira de Santana,BA,2025-09-16,True
45,CLI000045,Cliente 0045,Bar,Fortaleza,CE,2023-10-09,False
46,CLI000046,Cliente 0046,Conveniência,Recife,PE,2025-10-01,True
47,CLI000047,Cliente 0047,Atacado,Olinda,PE,2021-03-16,True
48,CLI000048,Cliente 0048,Restaurante,São Luís,MA,2022-10-14,True
49,CLI000049,Cliente 0049,Mercadinho,São Luís,MA,2024-06-14,True
50,CLI000050,Cliente 0050,Supermercado,Maracanaú,CE,2023-07-23,True
51,CLI000051,Cliente 0051,Atacado,Feira de Santana,BA,2021-08-03,True
52,CLI000052,Cliente 0052,Mercadinho,Salvador,BA,2024-09-27,True
53,CLI000053,Cliente 0053,Bar,São Luís,MA,2021-04-17,True
54,CLI000054,Cliente 0054,Conveniência,São Luís,MA,2024-01-07,True
55,CLI000055,Cliente 0055,Restaurante,Caucaia,CE,2024-12-16,True
56,CLI000056,Cliente 0056,Conveniência,Recife,PE,2022-05-18,False
57,CLI000057,Cliente 0057,Mercadinho,Feira de Santana,BA,2022-02-15,True
58,CLI000058,Cliente 0058,Bar,Caucaia,CE,2023-09-23,True
59,CLI000059,Cliente 0059,Bar,São Luís,MA,2022-08-18,True
60,CLI000060,Cliente 0060,Atacado,Recife,PE,2025-12-05,True
61,CLI000061,Cliente 0061,Bar,Olinda,PE,2023-09-09,True
62,CLI000062,Cliente 0062,Conveniência,Olinda,PE,2023-10-19,True
63,CLI000063,Cliente 0063,Supermercado,São Luís,MA,2024-09-16,True
64,CLI000064,Cliente 0064,Bar,Feira de Santana,BA,2023-04-23,True
65,CLI000065,Cliente 0065,Supermercado,Feira de Santana,BA,2024-01-11,True
66,CLI000066,Cliente 0066,Bar,Feira de Santana,BA,2022-08-02,True
67,CLI000067,Cliente 0067,Mercadinho,Salvador,BA,2024-02-17,True
68,CLI000068,Cliente 0068,Conveniência,Fortaleza,CE,2022-07-28,True
69,CLI000069,Cliente 0069,Mercadinho,Caucaia,CE,2024-05-11,True
70,CLI000070,Cliente 0070,Conveniência,Feira de Santana,BA,2021-06-28,True
71,CLI000071,Cliente 0071,Restaurante,Feira de Santana,BA,2024-09-02,True
72,CLI000072,Cliente 0072,Conveniência,Recife,PE,2023-04-24,True
73,CLI000073,Cliente 0073,Conveniência,Maracanaú,CE,2021-08-06,True
74,CLI000074,Cliente 0074,Mercadinho,Fortaleza,CE,2023-01-10,True
75,CLI000075,Cliente 0075,Supermercado,Feira de Santana,BA,2022-09-14,True
76,CLI000076,Cliente 0076,Supermercado,Caucaia,CE,2022-02-20,True
77,CLI000077,Cliente 0077,Bar,Recife,PE,2025-03-08,True
78,CLI000078,Cliente 0078,Bar,Olinda,PE,2023-11-01,True
79,CLI000079,Cliente 0079,Restaurante,São Luís,MA,2025-03-03,True
80,CLI000080,Cliente 0080,Atacado,Salvador,BA,2023-11-14,True
81,CLI000081,Cliente 0081,Restaurante,São Luís,MA,2022-07-28,True
82,CLI000082,Cliente 0082,Bar,Recife,PE,2025-06-19,True
83,CLI000083,Cliente 0083,Mercadinho,Olinda,PE,2024-05-01,True
84,CLI000084,Cliente 0084,Atacado,Fortaleza,CE,2024-05-25,True
85,CLI000085,Cliente 0085,Supermercado,Salvador,BA,2022-10-09,True
86,CLI000086,Cliente 0086,Conveniência,Caucaia,CE,2021-11-21,True
87,CLI000087,Cliente 0087,Mercadinho,São Luís,MA,2025-06-24,True
88,CLI000088,Cliente 0088,Restaurante,Olinda,PE,2024-03-07,True
89,CLI000089,Cliente 0089,Atacado,Salvador,BA,2025-05-27,True
90,CLI000090,Cliente 0090,Restaurante,São Luís,MA,2023-02-15,True
91,CLI000091,Cliente 0091,Supermercado,Caucaia,CE,2024-09-12,True
92,CLI000092,Cliente 0092,Mercadinho,Feira de Santana,BA,2023-09-04,True
