cd_id,produto_id,quantidade_estoque,estoque_minimo,data_atualizacao
1,1,745,246,2026-08-08T08:00:00
1,2,934,198,2026-08-08T08:00:00
1,3,1066,211,2026-08-08T08:00:00
1,4,218,72,2026-08-08T08:00:00
1,5,441,104,2026-08-08T08:00:00
1,6,740,74,2026-08-08T08:00:00
1,7,804,80,2026-08-08T08:00:00
1,8,1095,205,2026-08-08T08:00:00
1,9,1455,90,2026-08-08T08:00:00
1,10,123,125,2026-08-08T08:00:00
1,11,1092,137,2026-08-08T08:00:00
1,12,311,63,2026-08-08T08:00:00
1,13,243,222,2026-08-08T08:00:00
1,14,1230,219,2026-08-08T08:00:00
1,15,768,53,2026-08-08T08:00:00
1,16,1012,168,2026-08-08T08:00:00
1,17,951,169,2026-08-08T08:00:00
1,18,370,175,2026-08-08T08:00:00
1,19,1428,101,2026-08-08T08:00:00
1,20,376,83,2026-08-08T08:00:00
1,21,954,67,2026-08-08T08:00:00
1,22,901,194,2026-08-08T08:00:00
1,23,446,148,2026-08-08T08:00:00
1,24,368,172,2026-08-08T08:00:00
1,25,272,161,2026-08-08T08:00:00
1,26,852,181,2026-08-08T08:00:00
1,27,1353,191,2026-08-08T08:00:00
1,28,411,92,2026-08-08T08:00:00
1,29,648,187,2026-08-08T08:00:00
1,30,590,105,2026-08-08T08:00:00
1,31,1047,55,2026-08-08T08:00:00
1,32,1255,213,2026-08-08T08:00:00
1,33,134,200,2026-08-08T08:00:00
1,34,824,200,2026-08-08T08:00:00
1,35,1147,125,2026-08-08T08:00:00
1,36,1224,204,2026-08-08T08:00:00
1,37,1047,107,2026-08-08T08:00:00
1,38,333,109,2026-08-08T08:00:00
1,39,477,123,2026-08-08T08:00:00
1,40,1151,194,2026-08-08T08:00:00
1,41,508,99,2026-08-08T08:00:00
1,42,1095,64,2026-08-08T08:00:00
1,43,849,101,2026-08-08T08:00:00
1,44,888,141,2026-08-08T08:00:00
1,45,105,113,2026-08-08T08:00:00
1,46,754,193,2026-08-08T08:00:00
1,47,1382,65,2026-08-08T08:00:00
1,48,1049,181,2026-08-08T08:00:00
1,49,9,112,2026-08-08T08:00:00
1,50,208,86,2026-08-08T08:00:00
1,51,496,96,2026-08-08T08:00:00
1,52,913,89,2026-08-08T08:00:00
1,53,220,222,2026-08-08T08:00:00
1,54,786,109,2026-08-08T08:00:00
1,55,1233,212,2026-08-08T08:00:00
1,56,13,108,2026-08-08T08:00:00
1,57,809,50,2026-08-08T08:00:00
1,58,1013,51,2026-08-08T08:00:00
1,59,1476,123,2026-08-08T08:00:00
1,60,801,220,2026-08-08T08:00:00
1,61,829,168,2026-08-08T08:00:00
1,62,1435,185,2026-08-08T08:00:00
1,63,611,132,2026-08-08T08:00:00
1,64,972,105,2026-08-08T08:00:00
1,65,2,178,2026-08-08T08:00:00
1,66,992,165,2026-08-08T08:00:00
1,67,465,56,2026-08-08T08:00:00
1,68,286,160,2026-08-08T08:00:00
1,69,48,176,2026-08-08T08:00:00
1,70,278,123,2026-08-08T08:00:00
1,71,1480,118,2026-08-08T08:00:00
1,72,604,207,2026-08-08T08:00:00
1,73,100,124,2026-08-08T08:00:00
1,74,726,107,2026-08-08T08:00:00
1,75,1475,206,2026-08-08T08:00:00
1,76,86,246,2026-08-08T08:00:00
1,77,300,86,2026-08-08T08:00:00
1,78,1122,125,2026-08-08T08:00:00
1,79,58,50,2026-08-08T08:00:00
1,80,1050,147,2026-08-08T08:00:00
2,1,705,106,2026-08-08T08:00:00
2,2,321,215,2026-08-08T08:00:00
2,3,650,233,2026-08-08T08:00:00
2,4,873,73,2026-08-08T08:00:00
2,5,639,222,2026-08-08T08:00:00
2,6,111,92,2026-08-08T08:00:00
2,7,754,111,2026-08-08T08:00:00
2,8,917,227,2026-08-08T08:00:00
2,9,1058,123,2026-08-08T08:00:00
2,10,1228,53,2026-08-08T08:00:00
2,11,1127,60,2026-08-08T08:00:00
2,12,273,117,2026-08-08T08:00:00
2,13,202,226,2026-08-08T08:00:00
2,14,958,67,2026-08-08T08:00:00
2,15,1068,89,2026-08-08T08:00:00
2,16,1115,243,2026-08-08T08:00:00
2,17,94,132,2026-08-08T08:00:00
2,18,951,224,2026-08-08T08:00:00
2,19,983,126,2026-08-08T08:00:00
2,20,74,153,2026-08-08T08:00:00
2,21,662,239,2026-08-08T08:00:00
2,22,754,241,2026-08-08T08:00:00
2,23,843,83,2026-08-08T08:00:00
2,24,124,185,2026-08-08T08:00:00
2,25,282,134,2026-08-08T08:00:00
2,26,1036,79,2026-08-08T08:00:00
2,27,171,55,2026-08-08T08:00:00
2,28,478,151,2026-08-08T08:00:00
2,29,601,68,2026-08-08T08:00:00
2,30,843,237,2026-08-08T08:00:00
2,31,343,99,2026-08-08T08:00:00
2,32,70,137,2026-08-08T08:00:00
2,33,235,195,2026-08-08T08:00:00
2,34,859,151,2026-08-08T08:00:00
2,35,132,125,2026-08-08T08:00:00
2,36,839,175,2026-08-08T08:00:00
2,37,1456,89,2026-08-08T08:00:00
2,38,1345,148,2026-08-08T08:00:00
2,39,657,242,2026-08-08T08:00:00
2,40,421,206,2026-08-08T08:00:00
2,41,835,116,2026-08-08T08:00:00
2,42,378,232,2026-08-08T08:00:00
2,43,1175,224,2026-08-08T08:00:00
2,44,1149,104,2026-08-08T08:00:00
2,45,1338,236,2026-08-08T08:00:00
2,46,1161,147,2026-08-08T08:00:00
2,47,775,236,2026-08-08T08:00:00
2,48,506,159,2026-08-08T08:00:00
2,49,1364,69,2026-08-08T08:00:00
2,50,856,77,2026-08-08T08:00:00
2,51,1276,149,2026-08-08T08:00:00
2,52,838,54,2026-08-08T08:00:00
2,53,45,203,2026-08-08T08:00:00
2,54,1440,111,2026-08-08T08:00:00
2,55,903,56,2026-08-08T08:00:00
2,56,168,179,2026-08-08T08:00:00
2,57,360,171,2026-08-08T08:00:00
2,58,1078,75,2026-08-08T08:00:00
2,59,1019,86,2026-08-08T08:00:00
2,60,649,198,2026-08-08T08:00:00
2,61,700,80,2026-08-08T08:00:00
2,62,1114,51,2026-08-08T08:00:00
2,63,1476,249,2026-08-08T08:00:00
2,64,1297,108,2026-08-08T08:00:00
2,65,61,228,2026-08-08T08:00:00
2,66,1056,132,2026-08-08T08:00:00
2,67,347,242,2026-08-08T08:00:00
2,68,598,135,2026-08-08T08:00:00
2,69,1192,199,2026-08-08T08:00:00
2,70,598,243,2026-08-08T08:00:00
2,71,698,106,2026-08-08T08:00:00
2,72,292,55,2026-08-08T08:00:00
2,73,119,139,2026-08-08T08:00:00
2,74,1469,202,2026-08-08T08:00:00
2,75,271,162,2026-08-08T08:00:00
2,76,598,217,2026-08-08T08:00:00
2,77,381,103,2026-08-08T08:00:00
2,78,1033,63,2026-08-08T08:00:00
2,79,421,94,2026-08-08T08:00:00
2,80,639,95,2026-08-08T08:00:00
3,1,1247,117,2026-08-08T08:00:00
3,2,535,112,2026-08-08T08:00:00
3,3,637,96,2026-08-08T08:00:00
3,4,1099,74,2026-08-08T08:00:00
3,5,129,154,2026-08-08T08:00:00
3,6,728,192,2026-08-08T08:00:00
3,7,143,231,2026-08-08T08:00:00
3,8,876,105,2026-08-08T08:00:00
3,9,1146,182,2026-08-08T08:00:00
3,10,1364,155,2026-08-08T08:00:00
3,11,1036,226,2026-08-08T08:00:00
3,12,1238,189,2026-08-08T08:00:00
3,13,569,86,2026-08-08T08:00:00
3,14,48,103,2026-08-08T08:00:00
3,15,705,174,2026-08-08T08:00:00
3,16,287,200,2026-08-08T08:00:00
3,17,1301,65,2026-08-08T08:00:00
3,18,1287,179,2026-08-08T08:00:00
3,19,106,84,2026-08-08T08:00:00
3,20,1121,238,2026-08-08T08:00:00
3,21,1110,242,2026-08-08T08:00:00
3,22,545,221,2026-08-08T08:00:00
3,23,1291,222,2026-08-08T08:00:00
3,24,22,242,2026-08-08T08:00:00
3,25,783,107,2026-08-08T08:00:00
3,26,1129,154,2026-08-08T08:00:00
3,27,568,76,2026-08-08T08:00:00
3,28,1206,141,2026-08-08T08:00:00
3,29,918,70,2026-08-08T08:00:00
3,30,406,188,2026-08-08T08:00:00
3,31,440,65,2026-08-08T08:00:00
3,32,431,221,2026-08-08T08:00:00
3,33,1437,220,2026-08-08T08:00:00
3,34,561,243,2026-08-08T08:00:00
3,35,1259,55,2026-08-08T08:00:00
3,36,534,213,2026-08-08T08:00:00
3,37,271,108,2026-08-08T08:00:00
3,38,1451,89,2026-08-08T08:00:00
3,39,1102,200,2026-08-08T08:00:00
3,40,399,74,2026-08-08T08:00:00
3,41,155,225,2026-08-08T08:00:00
3,42,359,225,2026-08-08T08:00:00
3,43,757,161,2026-08-08T08:00:00
3,44,993,134,2026-08-08T08:00:00
3,45,1426,227,2026-08-08T08:00:00
3,46,994,192,2026-08-08T08:00:00
3,47,1074,56,2026-08-08T08:00:00
3,48,410,132,2026-08-08T08:00:00
3,49,207,135,2026-08-08T08:00:00
3,50,977,221,2026-08-08T08:00:00
