venda_id,data_venda,cliente_id,produto_id,vendedor_id,quantidade,desconto_pct,preco_unitario,valor_bruto,valor_liquido,cd_id
1,2026-07-22,2625,48,37,47,0.02,7.79,366.13,358.81,5
2,2026-06-13,541,65,6,36,0.0,7.95,286.2,286.2,5
3,2026-03-22,1713,79,22,5,0.05,11.94,59.7,56.72,2
4,2026-08-01,1677,3,16,22,0.05,6.04,132.88,126.24,4
5,2026-04-01,657,1,60,37,0.05,3.6,133.2,126.54,4
6,2026-03-13,1127,55,1,6,0.05,6.26,37.56,35.68,1
7,2026-07-19,157,22,23,25,0.1,12.74,318.5,286.65,1
8,2026-03-23,1414,39,32,25,0.0,4.8,120.0,120.0,2
9,2026-01-17,2032,7,18,4,0.0,2.81,11.24,11.24,1
10,2026-04-14,927,7,44,47,0.08,2.81,132.07,121.5,2
11,2026-06-25,1614,43,8,19,0.0,12.22,232.18,232.18,4
12,2026-02-11,2861,56,56,14,0.08,6.11,85.54,78.7,1
13,2026-04-12,704,71,25,5,0.0,5.85,29.25,29.25,4
14,2026-01-29,872,39,23,3,0.05,4.8,14.4,13.68,1
15,2026-06-01,360,52,56,10,0.08,10.54,105.4,96.97,1
16,2026-04-15,1627,69,9,37,0.1,6.21,229.77,206.79,2
17,2026-03-14,612,35,29,14,0.05,12.35,172.9,164.26,3
18,2026-02-19,2564,17,2,23,0.0,6.96,160.08,160.08,4
19,2026-05-05,873,67,31,33,0.0,8.43,278.19,278.19,3
20,2026-05-28,1993,1,20,17,0.05,3.6,61.2,58.14,3
21,2026-07-26,568,23,45,20,0.05,9.9,198.0,188.1,1
22,2026-04-07,969,11,31,24,0.0,5.57,133.68,133.68,3
23,2026-02-05,514,52,38,45,0.05,10.54,474.3,450.58,5
24,2026-07-03,1658,22,55,46,0.1,12.74,586.04,527.44,3
25,2026-05-19,84,28,58,15,0.0,7.94,119.1,119.1,1
26,2026-06-04,249,53,13,13,0.02,9.13,118.69,116.32,4
27,2026-01-22,1505,24,31,20,0.02,10.19,203.8,199.72,3
28,2026-03-10,1638,30,47,10,0.08,7.33,73.3,67.44,3
29,2026-06-18,990,40,8,28,0.0,8.23,230.44,230.44,4
30,2026-07-03,1295,10,29,27,0.0,11.95,322.65,322.65,3
