vendedor_id,matricula,nome,cd_id,meta_mensal_base,ativo
1,VEND0001,Vendedor 001,1,64566.16,True
2,VEND0002,Vendedor 002,4,53264.17,True
3,VEND0003,Vendedor 003,4,44807.05,True
4,VEND0004,Vendedor 004,3,81763.48,True
5,VEND0005,Vendedor 005,3,79157.85,True
6,VEND0006,Vendedor 006,5,69993.72,True
7,VEND0007,Vendedor 007,1,69366.2,True
8,VEND0008,Vendedor 008,4,74650.59,True
9,VEND0009,Vendedor 009,2,75575.76,True
10,VEND0010,Vendedor 010,1,44054.9,True
11,VEND0011,Vendedor 011,3,81597.42,False
12,VEND0012,Vendedor 012,5,77101.37,True
13,VEND0013,Vendedor 013,4,77641.73,True
14,VEND0014,Vendedor 014,4,82458.72,True
15,VEND0015,Vendedor 015,4,39599.86,True
16,VEND0016,Vendedor 016,4,75820.89,True
17,VEND0017,Vendedor 017,3,39458.48,True
18,VEND0018,Vendedor 018,1,61442.89,True
19,VEND0019,Vendedor 019,5,59143.85,True
20,VEND0020,Vendedor 020,3,70615.12,True
21,VEND0021,Vendedor 021,3,69696.53,True
22,VEND0022,Vendedor 022,2,36421.27,True
23,VEND0023,Vendedor 023,1,54433.53,True
24,VEND0024,Vendedor 024,5,41333.67,True
25,VEND0025,Vendedor 025,4,70508.39,True
26,VEND0026,Vendedor 026,4,49344.22,True
27,VEND0027,Vendedor 027,3,79702.12,True
28,VEND0028,Vendedor 028,5,66701.18,True
29,VEND0029,Vendedor 029,3,62012.65,True
30,VEND0030,Vendedor 030,3,39213.21,True
31,VEND0031,Vendedor 031,3,76977.58,True
32,VEND0032,Vendedor 032,2,78357.04,True
33,VEND0033,Vendedor 033,1,60788.09,True
34,VEND0034,Vendedor 034,3,60702.2,True
35,VEND0035,Vendedor 035,5,37686.92,True
36,VEND0036,Vendedor 036,1,83718.6,True
37,VEND0037,Vendedor 037,5,70016.74,True
38,VEND0038,Vendedor 038,5,74814.46,True
39,VEND0039,Vendedor 039,2,43247.72,True
40,VEND0040,Vendedor 040,4,41761.83,True
41,VEND0041,Vendedor 041,1,78873.51,True
42,VEND0042,Vendedor 042,4,89486.71,True
43,VEND0043,Vendedor 043,4,37694.89,True
44,VEND0044,Vendedor 044,2,44362.96,True
45,VEND0045,Vendedor 045,1,75127.98,True
46,VEND0046,Vendedor 046,5,37165.68,True
47,VEND0047,Vendedor 047,3,57370.25,True
48,VEND0048,Vendedor 048,5,68115.64,True
49,VEND0049,Vendedor 049,4,60301.3,True
50,VEND0050,Vendedor 050,4,89930.76,True
51,VEND0051,Vendedor 051,4,77823.76,True
52,VEND0052,Vendedor 052,1,82088.6,True
53,VEND0053,Vendedor 053,2,41917.17,True
54,VEND0054,Vendedor 054,3,79109.65,True
55,VEND0055,Vendedor 055,3,82588.82,True
56,VEND0056,Vendedor 056,1,64071.67,True
57,VEND0057,Vendedor 057,3,85337.92,True
58,VEND0058,Vendedor 058,1,49388.43,True
59,VEND0059,Vendedor 059,4,87918.36,True
60,VEND0060,Vendedor 060,4,65111.27,True
